section,id,ja,en,chs,cht,opt,flags
tvp_win32,TVPExceptionGuardPage,Guard Page: PAGE_GUARD で保護されたメモリにアクセスしました。,Guard Page: The thread accessed memory allocated with the PAGE_GUARD modifier.,Guard Page：线程访问了分配在 PAGE_GUARD 修饰符上的内存。,Guard Page：執行緒存取了配置在 PAGE_GUARD 修飾符上的記憶體。,,
tvp_win32,TVPExceptionIllegalInstruction,Illegal Instruction: 無効な命令を実行しようとしました。,Illegal Instruction: The thread tries to execute an invalid instruction.,Illegal Instruction：线程尝试执行一个无效的指令集。,Illegal Instruction：執行緒嘗試執行一個無效的指令集。,,
tvp_win32,TVPExceptionInPageError,In Page Error: 存在しないページへアクセスしようとしました、またシステムはページをロードできません。 ,"In Page Error: The thread tries to access a page that is not present, and the system is unable to load the page. For example, this exception might occur if a network connection is lost while running a program over a network.",In Page Error：线程尝试访问不存在的内存页，且系统无法加载内存页。例如：当通过网络通信时网络断开，则可能触发此错误。,In Page Error：執行緒嘗試存取不存在的記憶體分頁，且系統無法載入記憶體分頁。例如：當透過網路通訊時網路斷開，則可能觸發此錯誤。,,
tvp_win32,TVPExceptionInvalidDisposition,Invalid Disposition: 例外ハンドラは無効な配置をディスパッチャに返しました。C言語のような高水準言語では発生しません。,Invalid Disposition: An exception handler returns an invalid disposition to the exception dispatcher. Programmers using a high-level language such as C should never encounter this exception.,Invalid Disposition：异常处理程序向异常调度程序返回了一个无效值，在高级编程语言中（如C、C++）不应该出现此错误。,Invalid Disposition：例外處理程序向例外調度程序傳回了一個無效值，在高階程式語言中（如C、C++）不應該出現此錯誤。,,
tvp_win32,TVPExceptionInvalidHandle,Invalid Handle: 無効な(おそらく既に閉じられている)カーネルオブジェクトのハンドルを使用しました。,Invalid Handle: The thread used a handle to a kernel object that was invalid (probably because it had been closed.),Invalid Handle：线程使用了一个无效的内核句柄（可能因为已被关闭）。,Invalid Handle：執行緒使用了一個無效的核心控制代碼（可能因為已被關閉）。,,
tvp_win32,TVPExceptionStackOverflow,Stack Overflow: スタックを使い果たしました。,Stack Overflow: The thread uses up its stack.,Stack Overflow：线程栈溢出。,Stack Overflow：執行緒堆疊溢位。,,
tvp_win32,TVPExceptionUnwindCconsolidate,Unwind Consolidate: フレーム結合が実行されました。,Unwind Consolidate: A frame consolidation has been executed.,Unwind Consolidate：已进行帧合并。,Unwind Consolidate：已進行框架合併。,,
tvp_win32,TVPCannotShowModalAreadyShowed,既に表示、もしくは無効になっているウィンドウをモーダル表示することは出来ません。,Cannot Show Modal.,弹窗已显示或无法显示。,彈出視窗已顯示或無法顯示。,,
tvp_win32,TVPCannotShowModalSingleWindow,ウィンドウが1個の時モーダル表示することは出来ません。,Cannot Show Modal. When it is single window.,不能在单窗口模式下显示弹窗。,不能在單一視窗模式下顯示彈出視窗。,,
tvp,TVPInsufficientNumberOfArrays,配列の数が足りません,Insufficient number of arrays.,数组数量不足,陣列數量不足,,
tvp,TVPCaptureAreaOver,キャプチャ領域が範囲を超えています,capture area over.,捕获区域超出范围,擷取區域超出範圍,,
tvp,TVPArrayIsZero,配列が空です,Array is zero.,数组为空,陣列為空,,
tvp,TVPFailedToOpenStorageReadonlyMedia,ストレージを開けません: 読み取り専用メディアです,Failed to open storage:readonly media,无法打开存储：只读介质,無法開啟儲存體：唯讀媒體,,
tvp,TVPNotHavePrimaryLayer,プライマリレイヤがありません,Not have primary layer,没有主图层,沒有主圖層,,
tvp,TVPSetVideoBufferParameterError,SetVideoBuffer の引数が不正です,SetVideoBuffer Parameter Error,SetVideoBuffer 参数错误,SetVideoBuffer 參數錯誤,,
tvp,TVPCannotAllocateSDLTexture,SDL テクスチャを確保できません,Cannot Allocate SDL Texture,无法分配 SDL 纹理,無法配置 SDL 紋理,,
tvp,TVPCannotRetriveLayerTreeOwnerInterface,レイヤツリーオーナインタフェースを取得できません,Cannot Retrive Layer Tree Owner Interface.,无法获取图层树所有者接口,無法取得圖層樹擁有者介面,,
tvp,TVPCannotCreateLowLevelGraphicsSystemMaybeLowMemory,低レベルグラフィックスシステムを作成できません(メモリ不足の可能性があります),Cannot create low level graphics system(maybe low memory).,无法创建底层图形系统（可能是内存不足）,無法建立底層圖形系統（可能是記憶體不足）,,
tvp,TVPCannotExchangeTexture,テクスチャを交換できません,Cannot exchange texture.,无法交换纹理,無法交換紋理,,
tvp,TVPCanvasBeginEffectNoCanvasSizeCallWhileDrawing,Canvas.beginEffect: キャンバスサイズがありません(描画中に呼び出してください),Canvas.beginEffect: no canvas size (call while drawing).,Canvas.beginEffect：没有画布尺寸（请在绘制期间调用）,Canvas.beginEffect：沒有畫布尺寸（請在繪製期間呼叫）,,
tvp,TVPCanvasBeginStencilClipNoCanvasSizeCallWhileDrawing,Canvas.beginStencilClip: キャンバスサイズがありません(描画中に呼び出してください),Canvas.beginStencilClip: no canvas size (call while drawing).,Canvas.beginStencilClip：没有画布尺寸（请在绘制期间调用）,Canvas.beginStencilClip：沒有畫布尺寸（請在繪製期間呼叫）,,
tvp,TVPFBOCreateError,FBO の作成に失敗しました,FBO create error.,FBO 创建失败,FBO 建立失敗,,
tvp,TVPFaildToCreateAudioStream,オーディオストリームの作成に失敗しました,Faild to create audio stream.,音频流创建失败,音訊串流建立失敗,,
tvp,TVPFailedToCreateThread,スレッドの作成に失敗しました: %1,Failed to create thread: %1,线程创建失败：%1,執行緒建立失敗：%1,,
tvp,TVPFailedToOpenUserStorage,ユーザストレージを開けません,Failed to open user storage,无法打开用户存储,無法開啟使用者儲存體,,
tvp,TVPFilenameExtensionNotFound,ファイルの拡張子が見つかりません/%1,Filename extension not found/%1,找不到文件扩展名/%1,找不到副檔名/%1,,
tvp,TVPGLCompositor1stArgumentMustBeAWindow,GLCompositor: 第1引数は Window である必要があります,GLCompositor: 1st argument must be a Window,GLCompositor：第一个参数必须是 Window,GLCompositor：第一個參數必須是 Window,,
tvp,TVPGLCompositorFailedToGetGLContext,GLCompositor: GL コンテキストの取得に失敗しました,GLCompositor: failed to get GL context,GLCompositor：获取 GL 上下文失败,GLCompositor：取得 GL 上下文失敗,,
tvp,TVPIncompatibleTexture,互換性のないテクスチャです,Incompatible texture.,不兼容的纹理,不相容的紋理,,
tvp,TVPIndexTypeIsInvalid,インデックスの型が不正です,Index type is invalid.,索引类型无效,索引類型無效,,
tvp,TVPInvalidFormatBitsPerSample,不正なフォーマットです(BitsPerSample),Invalid format(BitsPerSample).,格式无效（BitsPerSample）,格式無效（BitsPerSample）,,
tvp,TVPInvalidFormat,不正なフォーマットです,Invalid format.,格式无效,格式無效,,
tvp,TVPModalWindowIsNotSupported,モーダルウィンドウはサポートされていません,Modal window is not supported.,不支持模态窗口,不支援模態視窗,,
tvp,TVPREPLModalTimeoutNoModalrespWasWrittenWithinTheTimeoutRepl,REPL モーダルがタイムアウトしました: 制限時間内に modalresp が書き込まれませんでした (-replmodaltimeout 秒。0=無限),REPL modal timeout: no 'modalresp' was written within the timeout (-replmodaltimeout seconds; 0=infinite),REPL 模态超时：在超时时间内未写入 modalresp（-replmodaltimeout 秒，0=无限）,REPL 模態逾時：在逾時時間內未寫入 modalresp（-replmodaltimeout 秒，0=無限）,,
tvp,TVPShaderCompileError,シェーダのコンパイルに失敗しました,Shader compile error.,着色器编译失败,著色器編譯失敗,,
tvp,TVPThisMethodRequireVBO,このメソッドは VBO が必要です,This method require VBO.,此方法需要 VBO,此方法需要 VBO,,
tvp,TVPThisVertexBufferIsConstant,この頂点バッファは定数です,This vertex buffer is constant.,此顶点缓冲区是常量,此頂點緩衝區是常數,,
tvp,TVPUnableToInitializeOpenGL,OpenGL を初期化できません,Unable to initialize OpenGL.,无法初始化 OpenGL,無法初始化 OpenGL,,
tvp,TVPUnableToInitializeGladEGL,glad EGL を初期化できません,Unable to initialize glad EGL.,无法初始化 glad EGL,無法初始化 glad EGL,,
tvp,TVPUnableToLoadGladGLESN,glad GLES を読み込めません (GL 関数を解決できませんでした)。\nOpenGL ES コンテキストの作成に失敗している可能性があります。\n直前のログのエラーを確認してください。\nWindows では OpenGL ドライバが ES プロファイル非対応で\nANGLE の libEGL.dll / libGLESv2.dll も見つからない場合に発生します\n,Unable to load glad GLES (could not resolve GL functions).\nOpenGL ES context creation may have failed;\ncheck the preceding errors in the log.\nOn Windows this happens when the OpenGL driver lacks ES profile support\nand ANGLE's libEGL.dll / libGLESv2.dll are not found.\n,无法加载 glad GLES（无法解析 GL 函数）。\nOpenGL ES 上下文可能创建失败；请检查日志中之前的错误。\n在 Windows 上，当 OpenGL 驱动不支持 ES profile\n且找不到 ANGLE 的 libEGL.dll / libGLESv2.dll 时会发生\n,無法載入 glad GLES（無法解析 GL 函式）。\nOpenGL ES 上下文可能建立失敗；請檢查日誌中之前的錯誤。\n在 Windows 上，當 OpenGL 驅動程式不支援 ES profile\n且找不到 ANGLE 的 libEGL.dll / libGLESv2.dll 時會發生\n,,
tvp,TVPUnknownDataType,不明なデータ型です,Unknown data type.,未知的数据类型,未知的資料類型,,
tvp,TVPVertexBinderIsEmpty,VertexBinder が空です,VertexBinder is empty.,VertexBinder 为空,VertexBinder 為空,,
tvp,TVPCannotGetLayerEventTargetInterface,layerEventTargetInterface を取得できません,cannot get layerEventTargetInterface,无法获取 layerEventTargetInterface,無法取得 layerEventTargetInterface,,
tvp,TVPCannotSerializeCyclicReferenceToJSON,循環参照を JSON にシリアライズできません,cannot serialize cyclic reference to JSON,无法将循环引用序列化为 JSON,無法將循環參照序列化為 JSON,,
tvp,TVPCannotSerializeNonFiniteRealInfNanToJSON,非有限の実数(inf/nan)を JSON にシリアライズできません,cannot serialize non-finite real (inf/nan) to JSON,无法将非有限实数（inf/nan）序列化为 JSON,無法將非有限實數（inf/nan）序列化為 JSON,,
tvp,TVPCannotSerializeObjectToJSONOnlyDictionaryArraySupported,オブジェクトを JSON にシリアライズできません(Dictionary/Array のみ対応),cannot serialize object to JSON (only Dictionary/Array supported),无法将对象序列化为 JSON（仅支持 Dictionary/Array）,無法將物件序列化為 JSON（僅支援 Dictionary/Array）,,
tvp,TVPCannotSerializeOctetToJSON,octet を JSON にシリアライズできません,cannot serialize octet to JSON,无法将 octet 序列化为 JSON,無法將 octet 序列化為 JSON,,
tvp,TVPSetViewportWallpaperWallpaperMustBeAStringLayerOrBitmap,setViewportWallpaper: wallpaper は文字列・Layer・Bitmap のいずれかである必要があります,"setViewportWallpaper: wallpaper must be a string, Layer or Bitmap",setViewportWallpaper：wallpaper 必须是字符串、Layer 或 Bitmap,setViewportWallpaper：wallpaper 必須是字串、Layer 或 Bitmap,,
tvp,TVPNotFoundInShader,シェーダに %1 が見つかりません,Not found %1 in shader.,着色器中未找到 %1,著色器中未找到 %1,,
tvp,TVPCannotRetriveInstance,%1 インスタンスを取得できません,Cannot retrive %1 instance.,无法获取 %1 实例,無法取得 %1 實例,,
tvp,TVPParameterRequireClassInstance,引数には %1 クラスのインスタンスが必要です,Parameter require %1 class instance.,参数需要 %1 类的实例,參數需要 %1 類別的實例,,
tvp,TVPUnimplementedCharacterDataForFullColored,未実装: tTVPCharacterData::%1 (FullColored),unimplemented: tTVPCharacterData::%1 for FullColored,未实现: tTVPCharacterData::%1 (FullColored),未實作: tTVPCharacterData::%1 (FullColored),,
tvp,TVPLicenseListHeader,同梱コンポーネントのライセンス (%1 件),Bundled component licenses (%1),内置组件许可证（%1 项）,內建元件授權條款（%1 項）,,
tvp,TVPLicenseListFooter,全文は -license=<名前> を付けて起動すると標準出力に表示できます,Run with -license=<name> to print the full text to standard output.,使用 -license=<名称> 启动可将许可证全文输出到标准输出。,使用 -license=<名稱> 啟動可將授權條款全文輸出到標準輸出。,,
tvp,TVPLicenseNotFound,ライセンス情報が見つかりません: %1,license information not found: %1,未找到许可证信息：%1,未找到授權資訊：%1,,
